ID_Ucznia_w_klasie,ID_Przedmiotu,Ocena,Frekwencja
25001,1,5,71
25001,2,5,88
25001,3,4,88
25002,1,3,80
25002,2,3,75
25002,3,1,88
25003,1,3,91
25003,2,5,29
25003,3,4,69
25004,1,2,73
25004,2,3,95
25004,3,4,98
25005,1,4,91
25005,2,4,91
25005,3,3,70
25006,1,1,99
25006,2,2,70
25006,3,1,41
25007,1,3,94
25007,2,5,95
25007,3,5,72
25008,1,4,97
25008,2,3,70
25008,3,3,94
25009,1,3,47
25009,2,2,80
25009,3,3,79
25010,1,3,89
25010,2,4,86
25010,3,2,83
25011,1,2,83
25011,2,3,70
25011,3,6,46
25012,1,3,66
25012,2,5,55
25012,3,4,77
25013,1,5,88
25013,2,4,81
25013,3,1,88
25014,1,1,21
25014,2,1,94
25014,3,3,77
25015,1,6,25
25015,2,3,97
25015,3,5,72
25016,1,4,82
25016,2,2,84
25016,3,4,96
25017,1,3,82
25017,2,3,92
25017,3,4,81
25018,1,4,92
25018,2,1,44
25018,3,4,75
25019,1,2,75
25019,2,2,75
25019,3,4,97
25020,1,5,32
25020,2,4,22
25020,3,5,97
25021,1,3,89
25021,2,6,52
25021,3,4,77
25022,1,3,31
25022,2,6,74
25022,3,4,85
25023,1,5,86
25023,2,3,72
25023,3,3,100
25024,1,4,19
25024,2,3,87
25024,3,5,89
25025,1,4,100
25025,2,4,87
25025,3,6,73
25026,1,4,100
25026,2,4,76
25026,3,3,89
25027,1,4,70
25027,2,4,86
25027,3,3,100
25028,1,4,82
25028,2,4,83
25028,3,4,37
25029,1,3,75
25029,2,3,68
25029,3,4,37
25030,1,4,78
25030,2,3,79
25030,3,4,83
25031,1,1,95
25031,2,6,88
25031,3,6,88
25032,1,6,98
25032,2,3,84
25032,3,4,71
25033,1,5,40
25033,2,4,82
25033,3,3,95
25034,1,1,50
25034,2,4,83
25034,3,1,78
25035,1,3,100
25035,2,3,49
25035,3,2,100
25036,1,3,88
25036,2,6,70
25036,3,2,100
25037,1,5,77
25037,2,5,84
25037,3,6,61
25038,1,4,48
25038,2,1,75
25038,3,4,80
25039,1,5,88
25039,2,3,37
25039,3,6,77
25040,1,4,82
25040,2,4,96
25040,3,3,100
25041,1,4,89
25041,2,1,93
25041,3,4,79
25042,1,4,50
25042,2,4,80
25042,3,4,48
25043,1,3,70
25043,2,3,83
25043,3,6,94
25044,1,1,87
25044,2,5,32
25044,3,3,14
25045,1,4,83
25045,2,6,70
25045,3,1,100
25046,1,3,73
25046,2,4,41
25046,3,5,97
25047,1,4,89
25047,2,4,88
25047,3,3,57
25048,1,4,100
25048,2,4,94
25048,3,5,76
25049,1,1,89
